,movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female
0,1,14000000,en,6.575392999999999,2015-02-20,93.0,Short,12314651.0,1,0,1,1,4,2015.0,2.0,0,20.0,-15309317.0,0,3.0,1,1,0,0,0,0,4,18,11,13,4,8,6,0.0,0.0,0.0,1.0,1.0,1.0,116980662.0,219076518.0,121463226.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0,8.0,4.0,13.0,4.0,2.0,4.0,9.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,40000000,en,8.248895,2004-08-06,113.0,Medium,95149435.0,1,0,1,1,4,2004.0,8.0,1,6.0,-33273015.0,0,1.0,1,1,0,0,0,0,4,3,3,10,2,13,4,1.0,1.0,0.0,0.0,0.0,1.0,165335153.0,165335153.0,309457509.0,9,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
2,3,3300000,en,64.29999000000001,2014-10-10,105.0,Medium,13092000.0,1,1,1,1,12,2014.0,10.0,1,10.0,-28659422.0,0,3.0,1,1,0,0,0,0,12,7,7,34,11,0,0,0.0,0.0,1.0,1.0,1.0,0.0,48065672.0,231411584.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,9.0,5.0,3.0,6.0,1.0,18.0,9.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,4,1200000,hi,3.174936,2012-03-09,122.0,Large,16000000.0,0,1,1,0,7,2012.0,3.0,0,9.0,-7149862.0,0,,1,1,0,0,0,0,7,2,1,2,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,4100000.0,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,ko,1.1480700000000001,2009-02-05,118.0,Medium,3923970.0,0,0,1,0,0,2009.0,2.0,0,5.0,-15309317.0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,8000000,en,0.743274,1987-08-06,83.0,Short,3261638.0,1,0,1,0,0,1987.0,8.0,1,6.0,-33273015.0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,14000000,en,7.2864770000000005,2012-08-30,92.0,Short,85446075.0,1,1,1,1,0,2012.0,8.0,1,30.0,-33273015.0,0,2.0,2,1,0,0,0,0,0,8,7,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,97838349.0,,297138014.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,11.0,11.0,12.0,4.0,9.0,4.0,8.0,8.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
7,8,0,en,1.9490439999999996,2004-01-15,84.0,Short,2586511.0,1,0,1,1,7,2004.0,1.0,0,15.0,-50746591.0,0,,0,1,0,0,0,0,7,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0,en,6.902423,1996-02-16,100.0,Medium,34327391.0,1,0,1,1,4,1996.0,2.0,0,16.0,-15309317.0,0,3.0,1,1,0,0,0,0,4,12,7,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,152022101.0,,,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,6000000,en,4.672036,2003-04-16,91.0,Short,18750246.0,1,0,1,1,2,2003.0,4.0,0,16.0,-28405871.0,0,1.0,1,1,0,0,0,0,2,10,3,6,1,4,2,0.0,0.0,0.0,1.0,1.0,1.0,147845033.0,243240178.0,64256513.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
