,Date_CD,Year,Season,WeekEnd,LastYear,LastSeason,LastWeekEnd,Date,LastDate,DaysRecency,ClientType,Staff,BLastStaff,RTLastStaff,StaffCancType,BLastServiceCode,BLastWomenMenService,BLastColorCutService,LastServiceCategory,LastServicePrice,LastServiceCost,ServiceCode,ServiceCancType,WomenMenService,ColorCutService,ServiceCategory,ServicePrice,ServiceCost,RTLastWomenMen,RTLastColorCutReciept,LastTotalAmount,LastTotalGST,LastTotalPST,WasProdPerch,IsCanceled,CancelDay,CancelWeekday,CanceledBy,Days,LastIsCanceled,LastCanceledBy,LastCancelWeekday,TotalClientCancellationsTillNow,TotalClientBookingsTillNow,CancellationPcnt
0,20180817,2018,Summer,1,2018.0,Summer,1.0,2018-08-17,2018-08-17,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CAL,Other,Other,COLOR,0.0,10.0,CAL,LowCancService,Other,Other,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,7,0.0
1,20180817,2018,Summer,1,2018.0,Summer,1.0,2018-08-17,2018-08-17,0.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CAL,LowCancService,Other,Other,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,5,0.0
2,20180727,2018,Summer,1,,,,2018-07-27,,,LowCancClient,JOANNE,,JOANNE,HighCancStaff,,,,,,,CAL,LowCancService,Other,Other,COLOR,0,10,Other,Color,50.0,2.5,4.0,0.0,0,,,,,,,,,0,
3,20180620,2018,Summer,0,2018.0,Summer,0.0,2018-06-20,2018-06-20,0.0,LowCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CAL,LowCancService,Other,Other,COLOR,0,10,Woman,Cut,102.0,5.1,8.16,0.0,0,,,,,0.0,,,0.0,3,0.0
4,20180620,2018,Summer,0,2018.0,Summer,0.0,2018-06-20,2018-06-20,0.0,LowCancClient,JOANNE,JOANNE,JJ,HighCancStaff,CAL,Other,Other,COLOR,0.0,10.0,CAL,LowCancService,Other,Other,COLOR,0,10,Woman,Cut,102.0,5.1,8.16,0.0,0,,,,,0.0,,,0.0,4,0.0
5,20181207,2018,Winter,1,2018.0,Winter,1.0,2018-12-07,2018-12-07,0.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CAL,LowCancService,Other,Other,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,3,0.0
6,20181207,2018,Winter,1,2018.0,Winter,1.0,2018-12-07,2018-12-07,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CAL,Other,Other,COLOR,0.0,10.0,CAL,LowCancService,Other,Other,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,4,0.0
7,20180728,2018,Summer,1,2018.0,Summer,1.0,2018-07-28,2018-07-28,0.0,LowCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCM,Man,Cut,STYLE,0.0,5.0,CAL,LowCancService,Other,Other,COLOR,0,10,Man,Cut,60.0,3.0,4.8,0.0,0,,,,,0.0,,,0.0,6,0.0
8,20180728,2018,Summer,1,2018.0,Summer,1.0,2018-07-28,2018-07-28,0.0,LowCancClient,JOANNE,JOANNE,JJ,HighCancStaff,CAL,Other,Other,COLOR,0.0,10.0,CAL,LowCancService,Other,Other,COLOR,0,10,Man,Cut,60.0,3.0,4.8,0.0,0,,,,,0.0,,,0.0,8,0.0
9,20180718,2018,Summer,0,2018.0,Summer,1.0,2018-07-18,2018-06-08,40.0,MediumCancClient,JOANNE,JOANNE,JOANNE,HighCancStaff,CHLPL,Other,Other,COLOR,0.0,10.0,CAL,LowCancService,Other,Other,COLOR,0,10,Other,Other,120.0,6.0,9.6,0.0,0,,,,,1.0,KELLY,5.0,1.0,1,1.0
