,Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST
0,10,2018-03-15,Women's hair cut,KERT01,JJ,1,82.0,4.1,6.56
1,100,2018-04-05,Women's hair cut,COOM01,SINEAD,1,70.0,3.5,5.6
2,1000,2018-06-09,Consultation,PEDM01,JJ,1,0.0,0.0,0.0
3,1001,2018-06-09,Women's hair cut,BAIS01,KELLY,1,55.0,2.75,4.4
4,1003,2018-06-09,Women's hair cut,FRAL01,KELLY,1,65.0,3.25,5.2
5,1003,2018-06-09,Color full color,FRAL01,JOANNE,1,75.0,3.75,6.0
6,1006,2018-06-09,Blowdry,LEVL01,JJ,1,0.0,0.0,0.0
7,1007,2018-06-09,Women's hair cut,JASA01,JJ,1,102.0,5.1,8.16
8,1008,2018-06-09,Women's hair cut,CHOT01,KELLY,1,45.0,2.25,3.6
9,1008,2018-06-09,Smart Bond,CHOT01,KELLY,1,25.0,1.25,2.0
10,1009,2018-06-09,Women's hair cut,KUZD01,KELLY,1,65.0,3.25,5.2
11,1009,2018-06-09,Color touch up,KUZD01,JOANNE,1,60.0,3.0,4.8
12,101,2018-04-05,Men's hair cut,TINT01,BECKY,1,30.0,1.5,2.4
13,1010,2018-06-09,Women's hair cut,NEMM01,JJ,1,82.0,4.1,6.56
14,1011,2018-06-09,Blowdry,OBRK01,KELLY,1,35.0,1.75,2.8
15,1012,2018-06-12,Blowdry,PER*01,JJ,1,52.0,2.6,4.16
16,1013,2018-06-12,Men's hair cut,LEEP01,JJ,1,60.0,3.0,4.8
17,1014,2018-06-12,Blowdry,NELT01,JJ,1,52.0,2.6,4.16
18,1015,2018-06-12,Men's hair cut,LEL01,KELLY,1,35.0,1.75,2.8
19,1015,2018-06-12,Shu cleansing oil sh400ml,LEL01,KELLY,1,50.4,2.52,4.032
20,1016,2018-06-12,Women's hair cut,MORB01,JJ,1,102.0,5.1,8.16
21,1016,2018-06-12,Color touch up,MORB01,JOANNE,1,70.0,3.5,5.6
22,1019,2018-06-12,Smart Bond,ALCV01,KELLY,1,25.0,1.25,2.0
23,1019,2018-06-12,Balayage,ALCV01,KELLY,1,170.0,8.5,13.6
24,1019,2018-06-12,Color toner,ALCV01,KELLY,1,45.0,2.25,3.6
25,1019,2018-06-12,Smart Bond,ALCV01,KELLY,1,25.0,1.25,2.0
26,102,2018-04-05,Men's hair cut,SCHJ01,JJ,1,60.0,3.0,4.8
27,1020,2018-06-12,Partial highlights and color,CLAM01,JOANNE,1,160.0,8.0,12.8
28,1021,2018-06-12,Women's hair cut,LINM02,JJ,1,102.0,5.1,8.16
29,1021,2018-06-12,PO hydrate sh  250ml,LINM02,JJ,1,30.73,1.5365,2.4584
30,1022,2018-06-12,Women's hair cut,TAYL02,JJ,1,82.0,4.1,6.56
31,1023,2018-06-12,Men's hair cut,PIPJ01,JJ,1,60.0,3.0,4.8
32,1024,2018-06-12,Women's hair cut,MCCK01,KELLY,1,55.0,2.75,4.4
33,1025,2018-06-12,Women's hair cut,DAJR01,JJ,1,92.0,4.6,7.36
34,1025,2018-06-12,Color full color,DAJR01,JOANNE,1,75.0,3.75,6.0
35,1026,2018-06-12,Women's hair cut,KULR01,KELLY,1,75.0,3.75,6.0
36,1027,2018-06-12,Women's hair cut,GIAL01,JJ,1,92.0,4.6,7.36
37,1027,2018-06-12,Highlights partial,GIAL01,JOANNE,1,150.0,7.5,12.0
38,1028,2018-06-13,Men's hair cut,WICJ01,JJ,1,40.0,2.0,3.2
39,1029,2018-06-13,Women's hair cut,FELH01,JJ,1,102.0,5.1,8.16
40,103,2018-04-05,Color touch up,HOLL01,KELLY,1,55.0,2.75,4.4
41,103,2018-04-05,Women's hair cut,HOLL01,SINEAD,1,80.0,4.0,6.4
42,1030,2018-06-13,Women's hair cut,BELK01,KELLY,1,55.0,2.75,4.4
43,1032,2018-06-13,Women's hair cut,NEEL01,JJ,1,102.0,5.1,8.16
44,1032,2018-06-13,Color touch up,NEEL01,JOANNE,1,70.0,3.5,5.6
45,1033,2018-06-13,Color full color,LIND01,JOANNE,1,75.0,3.75,6.0
46,1033,2018-06-13,Women's hair cut,LIND01,JJ,1,92.0,4.6,7.36
47,1034,2018-06-13,Blowdry,ELSM01,KELLY,1,55.0,2.75,4.4
48,1035,2018-06-13,Highlights partial,SHIG01,JOANNE,1,140.0,7.0,11.2
49,1035,2018-06-13,Women's hair cut,SHIG01,JJ,1,102.0,5.1,8.16
